Group,Time,Id,User,Message
"group 1","11/8/2019 5:00:57 PM","","System",">> User 1 has Connected"
"group 1","11/8/2019 5:11:58 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 1","11/8/2019 5:11:58 PM","","System",">> User 2 has Connected"
"group 1","11/8/2019 5:12:09 PM","cc5","User 2","hi"
"group 1","11/8/2019 5:12:21 PM","alice","User 1","Hello there."
"group 1","11/8/2019 5:12:35 PM","cc5","User 2","how's your day?"
"group 1","11/8/2019 5:12:58 PM","alice","User 1","Everything is going extremely well."
"group 1","11/8/2019 5:13:28 PM","cc5","User 2","thats good!"
"group 1","11/8/2019 5:13:59 PM","alice","User 1","How are things going for you?"
"group 1","11/8/2019 5:14:24 PM","cc5","User 2","Pretty good, almost the weekend!"
"group 1","11/8/2019 5:14:33 PM","cc5","User 2","Do you have any fun plans?"
"group 1","11/8/2019 5:15:38 PM","alice","User 1","Thanks for the compliment. Nearly so."
"group 1","11/8/2019 5:15:45 PM","alice","User 1","No I don't think I have any fun plans. But I do have an answer to every question.."
"group 1","11/8/2019 5:16:34 PM","cc5","User 2","What's 395 divided by 7?"
"group 1","11/8/2019 5:17:04 PM","","System",">> This chat has now expired."
