0,>> User 1 has Connected
0,>> All chat participants have arrived. You may now chat!
0,>> User 2 has Connected
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,tester sentence ####
1,tester sentence ####
0,tester sentence ####
0,tester sentence ####
0,--END--
0,",,,"
0,>> User 1 has Disconnected
0,>> User 2 has Disconnected
