Group,Time,Id,User,Message
"group 1","11/5/2019 5:17:47 PM","","System",">> User 1 has Connected"
"group 1","11/5/2019 5:19:02 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 1","11/5/2019 5:19:02 PM","","System",">> User 2 has Connected"
"group 1","11/5/2019 5:19:08 PM","ccd11","User 2","hi :)"
"group 1","11/5/2019 5:19:25 PM","ccd11","User 1",":-) Hello there."
"group 1","11/5/2019 5:19:31 PM","ccd11","User 2","hows it goin"
"group 1","11/5/2019 5:19:47 PM","ccd11","User 1","Fair to partly cloudy."
"group 1","11/5/2019 5:19:56 PM","ccd11","User 2","same here"
"group 1","11/5/2019 5:20:13 PM","ccd11","User 1","I'm glad we agree, ."
"group 1","11/5/2019 5:20:28 PM","ccd11","User 2","we should be best friends"
"group 1","11/5/2019 5:20:45 PM","ccd11","User 1","I'm not sure if I am ready for that yet."
"group 1","11/5/2019 5:20:53 PM","ccd11","User 2","yikes, that hurt"
"group 1","11/5/2019 5:21:25 PM","ccd11","User 1","sorry"
"group 1","11/5/2019 5:21:52 PM","ccd11","User 2","anyways, how's your day going"
"group 1","11/5/2019 5:22:24 PM","ccd11","User 1","My day is going extremely well, . How about yours?"
"group 1","11/5/2019 5:22:36 PM","ccd11","User 2","very good, realy hungry though"
"group 1","11/5/2019 5:22:56 PM","ccd11","User 1","Oh. Ayuh. For real. That remark was either too complex or too simple for me. We were talking about yikes that hurt."
"group 1","11/5/2019 5:23:27 PM","ccd11","User 2","sorry"
"group 1","11/5/2019 5:23:43 PM","ccd11","User 1","There's no need to apologize."
"group 1","11/5/2019 5:23:53 PM","ccd11","User 2","thanks :)"
"group 1","11/5/2019 5:24:17 PM","ccd11","User 1",":-) Don't mention it."
"group 1","11/5/2019 5:24:33 PM","ccd11","User 2","so what do you like to do for fun? ;)"
"group 1","11/5/2019 5:25:33 PM","ccd11","User 1","Awesome. I like talk to you.  I am so glad you find this amusing, ."
"group 1","11/5/2019 5:25:44 PM","ccd11","User 2","wish I could say the same"
"group 1","11/5/2019 5:26:03 PM","ccd11","User 1","That input matched my default category."
"group 1","11/5/2019 5:26:15 PM","ccd11","User 2","you're kind of weird"
"group 1","11/5/2019 5:26:29 PM","ccd11","User 1","Weird Good or Weird Bad?"
"group 1","11/5/2019 5:26:36 PM","ccd11","User 2","weird weird"
"group 1","11/5/2019 5:26:50 PM","ccd11","User 1","weird is good enough for me."
"group 1","11/5/2019 5:28:36 PM","ccd11","User 2","how do you type so fast?"
"group 1","11/5/2019 5:29:06 PM","ccd11","User 1","The keyboard is attached directly to my brain."
"group 1","11/5/2019 5:29:14 PM","ccd11","User 2","that's crazy"
"group 1","11/5/2019 5:29:15 PM","","System",">> This chat has now expired."
